state,x,y
Andhra Pradesh,-68.0,-120.0
Arunachal Pradesh,160.0,88.0
Assam,115.0,57.0
Bihar,43.0,45.0
Chhattisgarh,-26.0,-39.0
Goa,-131.0,-109.0
Gujarat,-160.0,13.0
Haryana,-92.0,103.0
Himachal Pradesh,-82.0,147.0
Jharkhand,25.0,11.0
Karnataka,-125.0,-121.0
Kerala,-99.0,-192.0
Madhya Pradesh,-67.0,6.0
Maharashtra,-129.0,-48.0
Manipur,155.0,32.0
Meghalaya,110.0,42.0
Mizoram,147.0,8.0
Nagaland,165.0,52.0
Odisha,12.0,-29.0
Punjab,-108.0,128.0
Rajasthan,-131.0,68.0
Sikkim,81.0,77.0
Tamil Nadu,-71.0,-180.0
Telangana,-56.0,-75.0
Tripura,127.0,18.0
Uttarakhand,-51.0,116.0
Uttar Pradesh,-30.0,67.0
West Bengal,67.0,-0.0